dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.198151,-0.058702,5.200000,4.000000,0.000000,0.000000,6.206991
0.020000,5.277916,-0.064833,5.280000,4.000000,0.000000,0.000000,6.206031
0.020000,5.357676,-0.071023,5.360000,4.000000,0.000000,0.000000,6.205504
0.020000,5.437434,-0.077238,5.440000,4.000000,0.000000,0.000000,6.205408
0.020000,5.517193,-0.083443,5.520000,4.000000,0.000000,0.000000,6.205744
0.020000,5.596956,-0.089605,5.600000,4.000000,0.000000,0.000000,6.206511
0.020000,5.676724,-0.095688,5.680000,4.000000,0.000000,0.000000,6.207716
0.020000,5.756501,-0.101657,5.760000,4.000000,0.000000,0.000000,6.209362
0.020000,5.836289,-0.107477,5.840000,4.000000,0.000000,0.000000,6.211460
0.020000,5.916090,-0.113111,5.920000,4.000000,0.000000,0.000000,6.214019
0.020000,5.995907,-0.118522,6.000000,4.000000,0.000000,0.000000,6.217054
0.020000,6.075741,-0.123671,6.080000,4.000000,0.000000,0.000000,6.220580
0.020000,6.155594,-0.128518,6.160000,4.000000,0.000000,0.000000,6.224616
0.020000,6.235467,-0.133022,6.240000,4.000000,0.000000,0.000000,6.229186
0.020000,6.315361,-0.137139,6.320000,4.000000,0.000000,0.000000,6.234314
0.020000,6.395276,-0.140823,6.400000,4.000000,0.000000,0.000000,6.240030
0.020000,6.475212,-0.144025,6.480000,4.000000,0.000000,0.000000,6.246369
0.020000,6.555167,-0.146695,6.560000,4.000000,0.000000,0.000000,6.253369
0.020000,6.635140,-0.148776,6.640000,4.000000,0.000000,0.000000,6.261075
0.020000,6.715127,-0.150212,6.720000,4.000000,0.000000,0.000000,6.269536
0.020000,6.795123,-0.150939,6.800000,4.000000,0.000000,0.000000,6.278811
0.020000,6.875123,-0.150888,6.880000,4.000000,0.000000,0.000000,0.005778
0.020000,6.955117,-0.149989,6.960000,4.000000,0.000000,0.000000,0.016882
0.020000,7.035096,-0.148160,7.040000,4.000000,0.000000,0.000000,0.029022
0.020000,7.115045,-0.145316,7.120000,4.000000,0.000000,0.000000,0.042294
0.020000,7.194946,-0.141362,7.200000,4.000000,0.000000,0.000000,0.056807
0.020000,7.274778,-0.136196,7.280000,4.000000,0.000000,0.000000,0.072685
